City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,xam nua,20.4197,104.0439,21.37,98,100,1.15,LA,1718023747
253,haiku-pauwela,20.9219,-156.3051,23.36,86,100,8.75,US,1718023652
254,kuanda,56.3161,116.0806,13.95,64,27,0.96,RU,1718023747
255,ulsteinvik,62.3432,5.8487,12.95,82,100,4.02,NO,1718023747
256,bereket,39.2446,55.5154,41.6,10,1,2.6,TM,1718023747
257,port sudan,19.6175,37.2164,35.22,37,0,6.51,SD,1718023747
258,la tuque,47.4334,-72.7824,13.14,88,100,2.06,CA,1718023747
259,soriano nel cimino,42.4187,12.2334,23.81,66,75,6.17,IT,1718023747
260,bataipora,-22.2953,-53.2711,26.92,37,4,3.88,BR,1718023747
261,talnakh,69.4865,88.3972,10.67,87,53,2.81,RU,1718023747
262,bayganin,48.6947,55.8742,29.92,29,67,4.82,KZ,1718023747
263,hirara,24.8,125.2833,26.92,94,75,3.09,JP,1718023747
264,chonchi,-42.6128,-73.8092,10.44,94,100,4.32,CL,1718023621
265,olonkinbyen,70.9221,-8.7187,-1.34,88,100,7.46,SJ,1718023747
266,essaouira,31.5125,-9.77,23.72,64,75,4.63,MA,1718023747
267,nemuro,43.3236,145.575,10.88,96,100,7.95,JP,1718023659
268,bouna,9.2667,-3.0,35.74,38,48,3.33,CI,1718023747
269,yangambi,0.8102,24.4336,28.78,55,84,2.72,CD,1718023748
270,cradock,-32.1642,25.6192,18.04,31,0,5.06,ZA,1718023748
271,cockburn town,21.4612,-71.1419,27.6,85,97,6.96,TC,1718023643
272,severoural'sk,60.1533,59.952,21.1,48,100,4.17,RU,1718023748
273,bam,29.106,58.357,35.93,6,0,8.28,IR,1718023748
274,ormond-by-the-sea,29.3491,-81.0665,28.93,78,0,4.12,US,1718023748
275,sao jose da coroa grande,-8.8978,-35.1478,27.34,70,43,6.48,BR,1718023748
276,sao gabriel da cachoeira,-0.1303,-67.0892,23.89,100,75,1.54,BR,1718023709
277,turtas,58.9417,69.1325,14.28,96,100,2.17,RU,1718023748
278,luderitz,-26.6481,15.1594,22.92,39,40,6.89,NA,1718023688
279,egilsstadir,65.2653,-14.3948,7.95,66,75,3.09,IS,1718023692
280,diego martin,10.7005,-61.5342,23.97,76,100,4.41,TT,1718023748
281,pyapon,16.2833,95.6833,25.5,91,100,5.36,MM,1718023748
282,kununurra,-15.7667,128.7333,15.99,72,52,0.0,AU,1718023748
283,aden,12.7794,45.0367,32.73,64,100,3.12,YE,1718023580
284,fada,9.5667,8.3,28.84,58,76,3.27,NG,1718023748
285,honiara,-9.4333,159.95,26.46,84,92,3.06,SB,1718023748
286,nova vicosa,-17.8919,-39.3719,26.57,54,100,0.87,BR,1718023748
287,deniliquin,-35.5333,144.9667,10.59,78,68,3.13,AU,1718023748
288,thompson,55.7435,-97.8558,7.09,76,20,0.0,CA,1718023748
289,necochea,-38.5473,-58.7368,11.2,74,6,4.2,AR,1718023325
290,illizi,26.4833,8.4667,42.89,6,7,6.42,DZ,1718023749
291,balikpapan,-1.2675,116.8289,25.55,83,20,2.06,ID,1718023460
292,callao,-12.0667,-77.15,17.62,82,100,2.57,PE,1718023749
293,sikonge,-5.6333,32.7667,28.1,30,38,2.98,TZ,1718023749
294,gewane,10.1664,40.6453,41.13,13,87,3.23,ET,1718023749
295,paradip garh,20.3167,86.6167,30.59,73,0,8.51,IN,1718023714
296,mutuali,-14.8706,37.0044,23.52,39,98,3.03,MZ,1718023749
297,hammerfest,70.6634,23.6821,13.25,67,0,6.17,NO,1718023646
298,port saint john's,-31.6229,29.5448,22.31,43,5,2.83,ZA,1718023749
299,trinidad,-14.8333,-64.9,21.99,88,3,1.54,BO,1718023749
300,mejit,10.2753,170.8646,28.27,80,15,9.01,MH,1718023749
301,sabang,5.8933,95.3214,29.74,72,100,8.94,ID,1718023749
302,tarakan,3.3,117.6333,26.72,94,40,1.54,ID,1718023749
303,wankyi,7.7392,-2.1046,33.39,48,49,2.79,GH,1718023749
304,yeed,4.55,43.0333,32.96,32,100,9.08,SO,1718023749
305,buka,40.8108,69.1986,36.94,15,6,4.68,UZ,1718023639
306,titahari,26.6667,87.2833,33.96,48,1,4.53,NP,1718023750
307,campo gallo,-26.5833,-62.85,19.49,67,0,3.87,AR,1718023750
308,zuyevka,58.405,51.1335,21.55,47,97,3.47,RU,1718023750
309,cambria,35.5641,-121.0808,12.91,91,27,0.45,US,1718023750
310,tumayr,25.7039,45.868,43.61,6,13,3.0,SA,1718023750
311,port macquarie,-31.4333,152.9167,9.94,74,100,3.75,AU,1718023635
312,funafuti,-8.5243,179.1942,29.0,84,75,0.0,TV,1718023750
313,itoman,26.1247,127.6694,25.22,100,75,4.63,JP,1718023750
314,san jose,37.3394,-121.895,14.49,82,100,3.09,US,1718023228
315,happy valley-goose bay,53.3168,-60.3315,13.17,88,100,5.66,CA,1718023483
316,kabba,7.8287,6.0731,32.11,49,71,3.45,NG,1718023750
317,nong khai,17.9167,103.0833,28.92,88,100,2.52,TH,1718023750
318,kertih,4.5141,103.4483,26.01,83,40,0.0,MY,1718023750
319,east london,-33.0153,27.9116,23.52,49,0,2.06,ZA,1718023623
320,formosa do rio preto,-11.0483,-45.1931,27.92,46,87,3.42,BR,1718023750
321,bel ombre,-4.6167,55.4167,29.91,70,40,5.14,SC,1718023750
322,rottenburg an der laaber,48.7,12.0333,20.92,53,34,3.9,DE,1718023750
323,lata,40.1629,-8.3327,25.04,58,100,2.05,PT,1718023750
324,midvagur,62.0511,-7.1939,7.46,81,75,7.72,FO,1718023674
325,sydney,-33.8679,151.2073,12.06,83,0,3.6,AU,1718022951
326,chopda,21.25,75.3,35.36,39,89,6.56,IN,1718023750
327,altay,47.8667,88.1167,25.41,38,0,4.24,CN,1718023751
328,khorixas,-20.3667,14.9667,28.92,22,10,9.09,NA,1718023751
329,bozoum,6.3193,16.3799,24.54,69,100,3.14,CF,1718023751
330,laguna,38.421,-121.4238,16.46,85,0,2.57,US,1718023751
331,stephenville,32.2207,-98.2023,23.47,90,40,3.09,US,1718023456
332,walvis bay,-22.9575,14.5053,17.83,49,82,3.58,NA,1718023751
333,thames,-37.1333,175.5333,13.62,97,100,1.37,NZ,1718023751
334,tofol,5.3248,163.0078,29.23,73,6,7.12,FM,1718023618
335,tsetserleg,47.475,101.4542,15.29,48,34,1.53,MN,1718023751
336,tsengel,49.4783,100.8894,17.64,49,92,3.44,MN,1718023751
337,ciudad melchor muzquiz,27.8833,-101.5167,25.66,76,0,1.29,MX,1718023751
338,council bluffs,41.2619,-95.8608,19.06,68,0,2.06,US,1718023629
339,gaigeturi,33.4644,126.3183,22.03,73,0,1.54,KR,1718023751
340,kirakira,-10.4544,161.9205,26.54,81,45,3.77,SB,1718023751
341,yemva,62.59,50.8594,19.0,51,92,3.89,RU,1718023751
342,barbacoas,1.6715,-78.1398,24.85,93,100,1.82,CO,1718023751
343,whangarei,-35.7317,174.3239,12.58,99,100,1.26,NZ,1718023751
344,tolanaro,-25.0319,46.9987,19.04,88,75,6.17,MG,1718023649
345,saint-pierre,-21.3393,55.4781,24.82,69,40,11.32,RE,1718023751
346,katpur,21.05,71.7833,32.07,65,33,10.43,IN,1718023751
347,shenjiamen,29.9576,122.298,19.8,96,100,5.91,CN,1718023629
348,teutonia,-29.4481,-51.8064,24.32,74,16,1.18,BR,1718023367
349,hovd,48.0056,91.6419,26.34,25,39,1.25,MN,1718023752
350,laojunmiao,39.8333,97.7333,22.05,17,72,4.57,CN,1718023752
351,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,86,75,4.47,RU,1718023752
352,irymple,-34.25,142.1667,13.94,71,97,6.33,AU,1718023752
353,zhanibek,49.4167,46.85,29.47,36,99,4.23,KZ,1718023752
